『三四郎』夏目漱石,En_text,Happy,Angry,Surprise,Sad,Fear
"三四郎はじっとその横顔をながめていたが、突然コップにある葡萄酒を飲み干して、表へ飛び出した。
そうして図書館に帰った。
その日は葡萄酒の景気と、一種の精神作用とで、例になくおもしろい勉強ができたので、三四郎は大いにうれしく思った。
二時間ほど読書三昧に入ったのち、ようやく気がついて、そろそろ帰るしたくをしながら、いっしょに借りた書物のうち、まだあけてみなかった最後の一冊を何気なく引っぺがしてみると、本の見返しのあいた所に、乱暴にも、鉛筆でいっぱい何か書いてある。","Sanshiro stared at him in profile, then suddenly gulped down a glass of wine and ran out to the front.
He then returned to the library.
He was very happy to find that he had been able to study more interestingly than ever that day, thanks to the wine and a kind of spiritual effect.
After two hours of reading, he finally realized that it was time to go home, and casually pulled down the last book he had borrowed with him.",0.5,0.0,0.17,0.17,0.17
"「ヘーゲルのベルリン大学に哲学を講じたる時、ヘーゲルに毫も哲学を売るの意なし。彼の講義は真を説くの講義にあらず、真を体せる人の講義なり。舌の講義にあらず、心の講義なり。真と人と合して醇化一致せる時、その説くところ、言うところは、講義のための講義にあらずして、道のための講義となる。哲学の講義はここに至ってはじめて聞くべし。いたずらに真を舌頭に転ずるものは、死したる墨をもって、死したる紙の上に、むなしき筆記を残すにすぎず。なんの意義かこれあらん。……余今試験のため、すなわちパンのために、恨みをのみ涙をのんでこの書を読む。岑々たる頭をおさえて未来永劫に試験制度を呪詛することを記憶せよ」
とある。
署名はむろんない。","When Hegel taught philosophy at the University of Berlin, he never intended to sell philosophy. His lectures were not those of a man who preached the truth, but those of a man who embodied the truth. They are not lectures of the tongue, but of the mind. When truth and man are in harmony, what he preaches and says is not a lecture for the sake of lecturing, but a lecture for the sake of the Way. A lecture on philosophy should be heard only when you have reached this point. If you turn the truth to the tongue, you will only be leaving a vain scribble on a dead piece of paper with a dead ink. What is the meaning of this? ......Yo, I read this book with tears of bitterness for the sake of my examinations, that is, for the sake of bread. Remember that you will curse the examination system forever and ever.
The book is not signed.
Of course, it is not signed.",0.0,0.0,0.45,0.27,0.27
"三四郎は覚えず微笑した。
けれどもどこか啓発されたような気がした。
哲学ばかりじゃない、文学もこのとおりだろうと考えながら、ページをはぐると、まだある。","Sanshiro smiled, not remembering.
But he felt somewhat enlightened.
He thought, ""Not only philosophy, but also literature must be like this.",0.33,0.0,0.0,0.67,0.0
「ヘーゲルの……」,"""Hegel's ......""",0,0,0,0,0
よほどヘーゲルの好きな男とみえる。,He seems to be a man who likes Hegel very much.,0,0,0,0,0
"「ヘーゲルの講義を聞かんとして、四方よりベルリンに集まれる学生は、この講義を衣食の資に利用せんとの野心をもって集まれるにあらず。ただ哲人ヘーゲルなるものありて、講壇の上に、無上普遍の真を伝うると聞いて、向上求道の念に切なるがため、壇下に、わが不穏底の疑義を解釈せんと欲したる清浄心の発現にほかならず。このゆえに彼らはヘーゲルを聞いて、彼らの未来を決定しえたり。自己の運命を改造しえたり。のっぺらぼうに講義を聞いて、のっぺらぼうに卒業し去る公ら日本の大学生と同じ事と思うは、天下の己惚れなり。公らはタイプ・ライターにすぎず。しかも欲張ったるタイプ・ライターなり。公らのなすところ、思うところ、言うところ、ついに切実なる社会の活気運に関せず。死に至るまでのっぺらぼうなるかな。死に至るまでのっぺらぼうなるかな」
と、のっぺらぼうを二へん繰り返している。
三四郎は黙然として考え込んでいた。","The students who gather in Berlin from all over the world to listen to Hegel's lectures do not do so out of an ambition to use the lectures for food and clothing. It is nothing more than the expression of a purified mind that desires to interpret my doubts about the depths of my disquiet under the platform, because they are eager to seek for improvement after hearing Hegel, the philosopher, convey the truth of the infinite and universal. For this reason, they can determine their future by listening to Hegel. They can transform their own destiny. It is a self-delusion of the world to think that they are the same as Japanese university students who listen to lectures in a haphazard manner and graduate from college in a haphazard manner. We are nothing but typewriters. And they are greedy typewriters. What we do, what we think, and what we say are not related to the vitality and fortune of our society. Will they be smooth until death? Will I be a ""blabbermouth to the death?
He repeats the same phrase twice.
Sanshiro was silent and thoughtful.",0.12,0.06,0.06,0.41,0.35
"すると、うしろからちょいと肩をたたいた者がある。
例の与次郎であった。
与次郎を図書館で見かけるのは珍しい。
彼は講義はだめだが、図書館は大切だと主張する男である。
けれども主張どおりにはいることも少ない男である。","Then, someone tapped him on the shoulder from behind.
It was the same Yojiro.
It was rare to see Yojiro in the library.
He is a man who insists that lectures are not good, but that libraries are important.
However, he is a man who rarely lives up to his claims.",0.25,0.25,0.25,0.25,0.0
"「おい、野々宮宗八さんが、君を捜していた」と言う。
与次郎が野々宮君を知ろうとは思いがけなかったから、念のため理科大学の野々宮さんかと聞き直すと、うんという答を得た。
さっそく本を置いて入口の新聞を閲覧する所まで出て行ったが、野々宮君がいない。","Hey, Sohachi Nonomiya was looking for you,"" he said.
I asked him again if he was Mr. Nonomiya of the University of Science, just to be sure, and he answered yes.
He immediately put down his books and went out to the entrance to read the newspaper, but Mr. Nonomiya was not there.",0.25,0.0,0.25,0.25,0.25
"玄関まで出てみたがやっぱりいない。
石段を降りて、首を延ばしてその辺を見回したが影も形も見えない。
やむを得ず引き返した。
もとの席へ来てみると、与次郎が、例のヘーゲル論をさして、小さな声で、","I went out to the front door, but he was still gone.
I went down the stone steps and stretched out my neck to look around, but I could not see a shadow.
I had no choice but to turn back.
When I came back to my original seat, I found Yojiro pointing at the Hegelian treatise and saying in a low voice",0.0,0.12,0.38,0.25,0.25
"「だいぶ振ってる。昔の卒業生に違いない。昔のやつは乱暴だが、どこかおもしろいところがある。実際このとおりだ」とにやにやしている。
だいぶ気に入ったらしい。
三四郎は","He's shaking it a lot. He must be an old graduate. The old ones are rough, but there's something interesting about them. In fact, it's just like this,"" he smirked.
He seemed to like it a lot.
Sanshiro was",0.25,0.0,0.0,0.75,0.0
「野々宮さんはおらんぜ」と言う。,"He says, ""Mr. Nonomiya isn't here.""",0,0,0,0,0
「さっき入口にいたがな」,I was at the entrance just now.,1.0,0.0,0.0,0.0,0.0
「何か用があるようだったか」,Did he seem like he wanted something?,0,0,0,0,0
"「あるようでもあった」
二人はいっしょに図書館を出た。
その時与次郎が話した。","It seemed to be.""
They left the library together.
At that time, Yojiro spoke.",0.0,0.0,0.0,0.0,1.0
"――野々宮君は自分の寄寓している広田先生の、もとの弟子でよく来る。
たいへんな学問好きで、研究もだいぶある。
その道の人なら、西洋人でもみんな野々宮君の名を知っている。
三四郎はまた、野々宮君の先生で、昔正門内で馬に苦しめられた人の話を思い出して、あるいはそれが広田先生ではなかろうかと考えだした。
与次郎にその事を話すと、与次郎は、ことによると、うちの先生だ、そんなことをやりかねない人だと言って笑っていた。","--Nonomiya-kun is a former disciple of Hirota-sensei, who is a resident of my fable, and comes here often.
He is a great lover of learning and has done a lot of research.
Everyone in that field, even Westerners, knows Nonomiya-kun's name.
Sanshiro also remembered the story of Nonomiya's teacher who had been tormented by a horse at the front gate in the past, and he wondered if it might have been Dr. Hirota.
When he told Yojiro about it, Yojiro laughed and said that it might be our teacher, who could do such a thing.",0.17,0.0,0.17,0.5,0.17
"その翌日はちょうど日曜なので、学校では野々宮君に会うわけにゆかない。
しかしきのう自分を捜していたことが気がかりになる。
さいわいまだ新宅を訪問したことがないから、こっちから行って用事を聞いてきようという気になった。
思い立ったのは朝であったが、新聞を読んでぐずぐずしているうちに昼になる。
昼飯を食べたから、出かけようとすると、久しぶりに熊本出の友人が来る。","The next day was Sunday, so I couldn't go to school to see Nonomiya-kun.
However, he was concerned about the fact that he had been looking for him yesterday.
Fortunately, I had not yet visited the new residence, so I decided to go there and ask him what he wanted.
The idea came to me in the morning, but it was noon before I had a chance to read the newspaper.
After eating lunch, I was about to go out when a friend of mine from Kumamoto came to see me for the first time in a while.",0.43,0.0,0.0,0.14,0.43
"ようやくそれを帰したのはかれこれ四時過ぎである。
ちとおそくなったが、予定のとおり出た。
野々宮の家はすこぶる遠い。
四、五日前大久保へ越した。
しかし電車を利用すれば、すぐに行かれる。","It was past four o'clock when I finally returned home.
It was a little late, but I left as scheduled.
The house in Nonomiya was very far away.
Four or five days ago, I moved to Okubo.
But I could get there quickly by train.",0.14,0.14,0.0,0.57,0.14
"なんでも停車場の近辺と聞いているから、捜すに不便はない。
実をいうと三四郎はかの平野家行き以来とんだ失敗をしている。
神田の高等商業学校へ行くつもりで、本郷四丁目から乗ったところが、乗り越して九段まで来て、ついでに飯田橋まで持ってゆかれて、そこでようやく外濠線へ乗り換えて、御茶の水から、神田橋へ出て、まだ悟らずに鎌倉河岸を数寄屋橋の方へ向いて急いで行ったことがある。
それより以来電車はとかくぶっそうな感じがしてならないのだが、甲武線は一筋だと、かねて聞いているから安心して乗った。
大久保の停車場を降りて、仲百人の通りを戸山学校の方へ行かずに、踏切からすぐ横へ折れると、ほとんど三尺ばかりの細い道になる。","He was told that it was in the vicinity of the train station, so there was no inconvenience in looking for it.
To tell the truth, Sanshiro had made a terrible mistake since he was going to Hirano's house.
He took a train from Hongo 4-chome, intending to go to Kanda High School of Commerce, but the train over took him to Kudan and then to Iidabashi, where he finally changed to the Gaihori Line, went out from Ochanomizu to Kandabashi, and hurried along the Kamakura river bank toward Sukiyabashi without realizing it yet.
Since then, I have always had the feeling that trains are always bumpy, but I had always heard that the Koubu Line was the only way to go, so I took the train with peace of mind.
After getting off the train at the Okubo stop, instead of going along Naka Hyakunin Street toward Toyama School, I turned off to the side at the railroad crossing and found myself on a narrow street almost three feet wide.",0.0,0.07,0.14,0.29,0.5
"それを爪先上がりにだらだらと上がると、まばらな孟宗藪がある。
その藪の手前と先に一軒ずつ人が住んでいる。
野々宮の家はその手前の分であった。
小さな門が道の向きにまるで関係のないような位置に筋かいに立っていた。
はいると、家がまた見当違いの所にあった。","When you walk slowly up the path, you will find a sparse thicket of moso bushes.
There are two houses, one in front of the bush and one at the end of it.
Nonomiya's house was in the front section.
A small gate stood in a straight line in a position that seemed to have nothing to do with the direction of the road.
When I entered the house, I found that it was also in the wrong place.",0.0,0.0,0.0,0.0,1.0
"門も入口もまったくあとからつけたものらしい。
台所のわきにりっぱな生垣があって、庭の方にはかえって仕切りもなんにもない。
ただ大きな萩が人の背より高く延びて、座敷の椽側を少し隠しているばかりである。
野々宮君はこの椽側に椅子を持ち出して、それへ腰を掛けて西洋の雑誌を読んでいた。
三四郎のはいって来たのを見て、","The gate and entrance seem to have been added after the fact.
There is a neat hedge next to the kitchen, and there is no partition between the kitchen and the garden.
The only thing is that a large bush clover extends taller than a person's back and slightly hides the balcony of the tatami room.
Nonomiya took a chair out to the balcony and sat down on it to read a Western magazine.
When he saw Sanshiro come in, he said",0.2,0.2,0.0,0.2,0.4
"「こっちへ」と言った。
まるで理科大学の穴倉の中と同じ挨拶である。
庭からはいるべきのか、玄関から回るべきのか、三四郎は少しく躊躇していた。","Come here,"" he said.
It was the same greeting as if he was in a hole in the wall of a science college.
Sanshiro hesitated for a moment, wondering whether he should enter from the garden or go around to the front door.",0.0,0.17,0.17,0.17,0.5
するとまた,then again,0,0,0,0,0
"「こっちへ」と催促するので、思い切って庭から上がることにした。
座敷はすなわち書斎で、広さは八畳で、わりあいに西洋の書物がたくさんある。
野々宮君は椅子を離れてすわった。","I was urged to go up from the garden.
The tatami room was a study, eight tatami mats in size, with a large number of Western books.
Nonomiya left his chair and sat down.",0.33,0.0,0.0,0.0,0.67
三四郎は閑静な所だとか、わりあいに御茶の水まで早く出られるとか、望遠鏡の試験はどうなりましたとか、――締まりのない当座の話をやったあと、,"After some brief, unconcerned talk about how quiet Sanshiro was, how quickly we could get to Ochanomizu, how the telescope test went, and so on, I asked him if he would be interested in going to Sanshiro.",0.2,0.0,0.0,0.6,0.2
"「きのう私を捜しておいでだったそうですが、何か御用ですか」と聞いた。
すると野々宮君は、少し気の毒そうな顔をして、","I asked him, ""I heard that you were looking for me yesterday.
Nonomiya-kun looked a little disappointed.",0.0,0.0,0.0,0.5,0.5
「なにじつはなんでもないですよ」と言った。,"I told him, ""It's nothing to tell the truth.""",0.0,0.0,0.0,1.0,0.0
三四郎はただ「はあ」と言った。,"Sanshiro just said, ""huh.",0,0,0,0,0
「それでわざわざ来てくれたんですか」,"So that's why you came all the way out here.""",0,0,0,0,0
「なに、そういうわけでもありません」,"No, it's not like that.",0.0,1.0,0.0,0.0,0.0
「じつはお国のおっかさんがね、せがれがいろいろお世話になるからと言って、結構なものを送ってくださったから、ちょっとあなたにもお礼を言おうと思って……」,"My mother in my home country sent me a lot of things because she knew I would be of help to her, so I thought I would thank you as well. ......",0.0,0.0,0.33,0.67,0.0
「はあ、そうですか。何か送ってきましたか」,"'Oh, I see. Did you send anything?""",0.0,0.0,0.0,0.0,1.0
「ええ赤い魚の粕漬なんですがね」,"Yes, it's a red fish marinated in sake lees.",0.0,0.5,0.5,0.0,0.0
"「じゃひめいちでしょう」
三四郎はつまらんものを送ったものだと思った。
しかし野々宮君はかのひめいちについていろいろな事を質問した。","Then it must be Himeichi.""
Sanshiro thought that he had sent a trivial thing.
However, Nonomiya asked many questions about Himeichi.",0.0,0.0,0.0,0.0,1.0
"三四郎は特に食う時の心得を説明した。
粕ごと焼いて、いざ皿へうつすという時に、粕を取らないと味が抜けると言って教えてやった。
二人がひめいちについて問答をしているうちに、日が暮れた。
三四郎はもう帰ろうと思って挨拶をしかけるところへ、どこからか電報が来た。","Sanshiro explained the special precautions to be taken when eating it.
He told them that they had to remove the sake lees when they were about to put it on a plate or it would lose its flavor.
While the two men were discussing Himeichi, the sun was setting.
As Sanshiro was about to leave, a telegram came from somewhere.",0.0,0.0,0.29,0.43,0.29
"野々宮君は封を切って、電報を読んだが、口のうちで、「困ったな」と言った。
三四郎はすましているわけにもゆかず、といってむやみに立ち入った事を聞く気にもならなかったので、ただ、","Nonomiya opened the envelope and read the telegram, saying in his mouth, ""This is a problem.
Sanshiro could not remain calm, nor did he want to ask any questions, so he simply said, ""I'm sorry.",0.17,0.0,0.0,0.33,0.5
"「何かできましたか」と棒のように聞いた。
すると野々宮君は、","I asked like a stick, ""What could you do?""
Then Nonomiya-kun, who was",0.0,0.0,0.0,0.0,1.0
"「なにたいしたことでもないのです」と言って、手に持った電報を、三四郎に見せてくれた。
すぐ来てくれとある。","He showed Sanshiro a telegram in his hand, saying, ""It's nothing important.
It said to come immediately.",1.0,0.0,0.0,0.0,0.0
「どこかへおいでになるのですか」,Are you going somewhere?,0,0,0,0,0
"「ええ、妹がこのあいだから病気をして、大学の病院にはいっているんですが、そいつがすぐ来てくれと言うんです」といっこう騒ぐ気色もない。
三四郎のほうはかえって驚いた。
野々宮君の妹と、妹の病気と、大学の病院をいっしょにまとめて、それに池の周囲で会った女を加えて、それを一どきにかき回して、驚いている。","He was not in the least bit fussed about it.
Sanshiro was surprised.
He was surprised to see Nonomiya's sister, her sister's illness, and the university hospital all rolled into one, plus the woman he had met around the pond, all stirred up at once.",0.0,0.0,0.5,0.5,0.0
「じゃ、よほどお悪いんですな」,"Then you must be very ill indeed.""",0,0,0,0,0
「なにそうじゃないんでしょう。じつは母が看病に行ってるんですが、――もし病気のためなら、電車へ乗って駆けて来たほうが早いわけですからね。――なに妹のいたずらでしょう。ばかだから、よくこんなまねをします。ここへ越してからまだ一ぺんも行かないものだから、きょうの日曜には来ると思って待ってでもいたのでしょう、それで」と言って首を横に曲げて考えた。,"What is it that you don't mean? Actually, my mother is there to take care of me, but - if it was because I was sick, it would have been quicker to get on the train and come running. --What a prank by my sister. She is a fool, so she often does this kind of thing. Since I haven't visited her even once since we moved here, she must have been waiting for me to come today, Sunday,"" he said, bending his head to the side and thinking.",0.14,0.14,0.29,0.29,0.14
「しかしおいでになったほうがいいでしょう。もし悪いといけません」,"But you had better come. If it's bad, it's bad.""",0,0,0,0,0
「さよう。四、五日行かないうちにそう急に変るわけもなさそうですが、まあ行ってみるか」,"I'll go there and see what happens. It seems unlikely that things will change so suddenly after four or five days, but let's give it a try.",0.33,0.0,0.33,0.0,0.33
"「おいでになるにしくはないでしょう」
野々宮は行くことにした。
行くときめたについては、三四郎に頼みがあると言いだした。","I'm sure you won't be disappointed.""
Nonomiya decided to go.
When she decided to go, she asked Sanshiro for a favor.",0.2,0.0,0.0,0.2,0.6
"万一病気のための電報とすると、今夜は帰れない。
すると留守が下女一人になる。
下女が非常に臆病で、近所がことのほかぶっそうである。
来合わせたのがちょうど幸いだから、あすの課業にさしつかえがなければ泊ってくれまいか、もっともただの電報ならばすぐ帰ってくる。
まえからわかっていれば、例の佐々木でも頼むはずだったが、今からではとても間に合わない。","In case it is a telegram for illness, he will not be able to return home tonight.
Then, the servant girl would be alone.
The servant is very timid, and the neighbors are very upset.
If it is just a telegram, she will be back soon.
If I had known before, I would have asked Sasaki, but it would be too late.",0.0,0.0,0.17,0.33,0.5
たった一晩のことではあるし、病院へ泊るか、泊らないか、まだわからないさきから、関係もない人に、迷惑をかけるのはわがまますぎて、しいてとは言いかねるが、――むろん野々宮はこう流暢には頼まなかったが、相手の三四郎が、そう流暢に頼まれる必要のない男だから、すぐ承知してしまった。,"It was only for one night, and since he did not yet know whether he would be staying at the hospital or not, it would be too selfish to bother someone he had no relationship with, so he could not ask for permission. Of course, Nonomiya did not ask so fluently, but since Sanshiro was a man who did not need to be asked so fluently, he immediately agreed to the request.",0.0,0.8,0.0,0.0,0.2
"下女が御飯はというのを、「食わない」と言ったまま、三四郎に「失敬だが、君一人で、あとで食ってください」と夕飯まで置き去りにして、出ていった。
行ったと思ったら暗い萩の間から大きな声を出して、","When the servant asked him if he would like to eat, he replied, ""No, I won't eat,"" and told Sanshiro, ""I'm sorry, but you'll have to eat alone later.
Just as he thought she had gone, she let out a loud voice from the dark bushwhacker's room.",0.0,0.0,0.0,0.33,0.67
"「ぼくの書斎にある本はなんでも読んでいいです。別におもしろいものもないが、何か御覧なさい。小説も少しはある」
と言ったまま消えてなくなった。
椽側まで見送って三四郎が礼を述べた時は、三坪ほどな孟宗藪の竹が、まばらなだけに一本ずつまだ見えた。","You can read anything in my study. There is nothing interesting, but please look at something. I have a few novels.
He disappeared without saying a word.
When Sanshiro saw him off to the balcony and thanked him, he could still see one bamboo tree in a moso thicket about 3 tsubo in size, but only sparsely.",0.33,0.33,0.0,0.0,0.33
"まもなく三四郎は八畳敷の書斎のまん中で小さい膳を控えて、晩飯を食った。
膳の上を見ると、主人の言葉にたがわず、かのひめいちがついている。
久しぶりで故郷の香をかいだようでうれしかったが、飯はそのわりにうまくなかった。
お給仕に出た下女の顔を見ると、これも主人の言ったとおり、臆病にできた目鼻であった。
飯が済むと下女は台所へ下がる。","Soon after, Sanshiro sat down at a small table in the middle of his eight-mat study and ate his dinner.
When he looked at the top of the table, he saw that it was covered with himeichi, just as his master had said.
I was happy to smell the fragrance of my hometown after a long time, but the food was not so good.
When he looked at the face of the servant who had come out to serve him, he saw that her eyes and nose were made of cowardice, just as the master had said.
When the meal was finished, the servant went back to the kitchen.",0.14,0.0,0.14,0.14,0.57
"三四郎は一人になる。
一人になっておちつくと、野々宮君の妹の事が急に心配になってきた。
危篤なような気がする。
野々宮君の駆けつけ方がおそいような気がする。
そうして妹がこのあいだ見た女のような気がしてたまらない。","Sanshiro is left alone.
As he settles down to be alone, he suddenly becomes worried about Nonomiya's sister.
I feel that she is in critical condition.
I felt that Nonomiya-kun was too slow in rushing to the hospital.
And he couldn't help but feel that his sister looked like the woman he had seen the other day.",0.4,0.0,0.0,0.4,0.2
"三四郎はもう一ぺん、女の顔つきと目つきと、服装とを、あの時あのままに、繰り返して、それを病院の寝台の上に乗せて、そのそばに野々宮君を立たして、二、三の会話をさせたが、兄ではもの足らないので、いつのまにか、自分が代理になって、いろいろ親切に介抱していた。
ところへ汽車がごうと鳴って孟宗藪のすぐ下を通った。
根太のぐあいか、土質のせいか座敷が少し震えるようである。
三四郎は看病をやめて、座敷を見回した。
いかさま古い建物と思われて、柱に寂がある。","Sanshiro repeated the woman's face, eyes, and clothes one more time, just as they had been then, and placed her on the hospital bed, with Nonomiya-kun standing by her side, and had a couple of conversations with her.
At that moment, a train rumbled by, passing just below a thicket of moso bushes.
The floor of the room seemed to tremble a little, perhaps due to the soil or the thickness of the joists.
Sanshiro stopped nursing and looked around the room.
It seemed to be an old building, and the pillars were worn.",0.0,0.0,0.14,0.14,0.71
"その代り唐紙の立てつけが悪い。
天井はまっ黒だ。
ランプばかりが当世に光っている。
野々宮君のような新式の学者が、もの好きにこんな家を借りて、封建時代の孟宗藪を見て暮らすのと同格である。
もの好きならば当人の随意だが、もし必要にせまられて、郊外にみずからを放逐したとすると、はなはだ気の毒である。","Instead, the karakami paper is not in good condition.
The ceiling is pitch black.
Only the lamps are shining in the present age.
It is the equivalent of a new-style scholar like Nonomiya renting a house like this and living in a feudal-era moso thicket.
If he likes it, it is his own choice, but if he had to abandon himself to the suburbs out of necessity, it would be a pity.",0.0,0.33,0.0,0.33,0.33
"聞くところによると、あれだけの学者で、月にたった五十五円しか、大学からもらっていないそうだ。
だからやむをえず私立学校へ教えにゆくのだろう。
それで妹に入院されてはたまるまい。
大久保へ越したのも、あるいはそんな経済上のつごうかもしれない。
……","According to what I have heard, a scholar of that caliber is paid only fifty-five yen a month from the university.
That is why he has no choice but to go to a private school to teach.
He could not let his sister be hospitalized for that.
Perhaps that is the reason why he moved to Okubo.
......",0.0,0.33,0.0,0.67,0.0
"宵の口ではあるが、場所が場所だけにしんとしている。
庭の先で虫の音がする。
ひとりですわっていると、さみしい秋の初めである。
その時遠い所でだれか、","It is early evening, but the place is quiet because of its location.
In the garden, there is the sound of insects.
Sitting alone, it is a lonely early autumn.
Then, I hear someone in the distance.",0.0,0.0,0.0,0.67,0.33
"「ああああ、もう少しの間だ」
と言う声がした。
方角は家の裏手のようにも思えるが、遠いのでしっかりとはわからなかった。","'Ahhhh, just a little while longer.'
I heard a voice say.
The direction seemed to be behind the house, but it was too far away to be sure.",0.0,0.5,0.0,0.0,0.5
"また方角を聞き分ける暇もないうちに済んでしまった。
けれども三四郎の耳には明らかにこの一句が、すべてに捨てられた人の、すべてから返事を予期しない、真実の独白と聞こえた。
三四郎は気味が悪くなった。
ところへまた汽車が遠くから響いて来た。
その音が次第に近づいて孟宗藪の下を通る時には、前の列車よりも倍も高い音を立てて過ぎ去った。","He did not even have time to distinguish the direction.
However, it was clear to Sanshiro's ears that this sentence sounded like the true monologue of a person who had been abandoned by everything and did not expect a reply from anyone.
It made Sanshiro feel queasy.
Just then, the train sounded again from far away.
As it passed under the thicket of moso bushes, it passed by with a sound twice as loud as the previous train.",0.0,0.4,0.0,0.4,0.2
"座敷の微震がやむまでは茫然としていた三四郎は、石火のごとく、さっきの嘆声と今の列車の響きとを、一種の因果で結びつけた。
そうして、ぎくんと飛び上がった。
その因果は恐るべきものである。
三四郎はこの時じっと座に着いていることのきわめて困難なのを発見した。
背筋から足の裏までが疑惧の刺激でむずむずする。","Sanshiro, who had been stunned until the slight tremor in the tatami room ceased, connected the earlier lamentation and the current echoes of the train with a kind of cause and effect, like a stone fire.
Then he jumped up with a jerk.
The cause and effect was a frightening one.
Sanshiro found it extremely difficult to sit still.
From his back to the soles of his feet, he felt a tingling sensation of fear.",0.07,0.13,0.4,0.2,0.2
"立って便所に行った。
窓から外をのぞくと、一面の星月夜で、土手下の汽車道は死んだように静かである。
それでも竹格子のあいだから鼻を出すくらいにして、暗い所をながめていた。
すると停車場の方から提灯をつけた男がレールの上を伝ってこっちへ来る。
話し声で判じると三、四人らしい。","I got up and went to the bathroom.
Looking out the window, I saw that it was a starry moonlit night and the train road under the bank was dead quiet.
Even so, I peeked my nose through the bamboo grating and stared into the darkness.
Then, a man with a lantern on came toward me from the station, walking along the rail.
I could tell from their voices that there were three or four of them.",0.0,0.33,0.17,0.17,0.33
"提灯の影は踏切から土手下へ隠れて、孟宗藪の下を通る時は、話し声だけになった。
けれども、その言葉は手に取るように聞こえた。","The shadows of the lanterns were hidden from the crossing and under the bank, and as they passed under the moso bushes, only the sound of talking could be heard.
But the words were palpable.",0.0,0.67,0.0,0.17,0.17
"「もう少し先だ」
足音は向こうへ遠のいて行く。
三四郎は庭先へ回って下駄を突っ掛けたまま孟宗藪の所から、一間余の土手を這い降りて、提灯のあとを追っかけて行った。","Just a little further.
The footsteps were fading away.
Sanshiro went around to the garden, put on his clogs, and crawled down the bank from the moso thicket to follow the lanterns.",0.0,0.33,0.0,0.33,0.33
"五、六間行くか行かないうちに、また一人土手から飛び降りた者がある。
――","Within five or six paces or so, one more person jumped off the bank.
--",0.0,0.0,0.67,0.0,0.33
"「轢死じゃないですか」
三四郎は何か答えようとしたが、ちょっと声が出なかった。
そのうち黒い男は行き過ぎた。","Isn't it a hit-and-run death?""
Sanshiro tried to answer something, but he was a little speechless.
Eventually, the black man went too far.",0.0,0.0,0.5,0.0,0.5
"これは野々宮君の奥に住んでいる家の主人だろうと、後をつけながら考えた。
半町ほどくると提灯が留まっている。
人も留まっている。
人は灯をかざしたまま黙っている。
三四郎は無言で灯の下を見た。","This must be the owner of the house behind Nonomiya-kun, I thought as I followed him.
About half a town away, I came to a lantern.
People were also staying there.
They held up their lanterns and remained silent.
Sanshiro looked silently under the lanterns.",0.0,0.67,0.0,0.33,0.0
"下には死骸が半分ある。
汽車は右の肩から乳の下を腰の上までみごとに引きちぎって、斜掛けの胴を置き去りにして行ったのである。
顔は無傷である。
若い女だ。
三四郎はその時の心持ちをいまだに覚えている。","There is half a carcass underneath.
The train tore off the right shoulder and under the milk all the way up to the waist, leaving the slanted torso behind.
Her face was intact.
She was a young woman.
Sanshiro still remembers how he felt at that moment.",0.0,0.0,0.0,0.67,0.33
"すぐ帰ろうとして、踵をめぐらしかけたが、足がすくんでほとんど動けなかった。
土手を這い上がって、座敷へもどったら、動悸が打ち出した。
水をもらおうと思って、下女を呼ぶと、下女はさいわいになんにも知らないらしい。
しばらくすると、奥の家で、なんだか騒ぎ出した。
三四郎は主人が帰ったんだなと覚った。","I was about to turn on my heel to leave, but my legs were so weak that I could hardly move.
When I crawled up the bank and returned to the tatami room, my heart started palpitating.
I called a servant to get some water, but to my relief, she did not seem to know anything about it.
After a while, a commotion started in the back of the house.
Sanshiro realized that his master had returned.",0.0,0.11,0.11,0.44,0.33
"やがて土手の下ががやがやする。
それが済むとまた静かになる。
ほとんど堪え難いほどの静かさであった。
三四郎の目の前には、ありありとさっきの女の顔が見える。","Soon there is a ruckus down the bank.
When it was over, it was quiet again.
It was almost unbearably quiet.
Sanshiro could clearly see the woman's face in front of him.",0.0,0.0,0.0,0.67,0.33
"その顔と「ああああ……」と言った力のない声と、その二つの奥に潜んでおるべきはずの無残な運命とを、継ぎ合わして考えてみると、人生という丈夫そうな命の根が、知らぬまに、ゆるんで、いつでも暗闇へ浮き出してゆきそうに思われる。
三四郎は欲も得もいらないほどこわかった。
ただごうという一瞬間である。","When I think of his face, and the powerless voice that said ""ahhhh ......,"" and the cruel fate that should have lurked behind those two, it seems as if the sturdy roots of life will unwittingly loosen and float out into the darkness at any moment. Sanshiro is a man of greed and gain.
Sanshiro was so scared that he needed neither greed nor gain.
It was just a moment of ""Go.",0.0,0.0,0.0,0.38,0.62
