『銀河鉄道の夜』宮沢賢治,En_text,Happy,Angry,Surprise,Sad,Fear
"気がついてみると、さっきから、ごとごとごとごと、ジョバンニの乗っている小さな列車が走りつづけていたのでした。
ほんとうにジョバンニは、夜の軽便鉄道の、小さな黄いろの電燈のならんだ車室に、窓から外を見ながら座っていたのです。
車室の中は、青い天蚕絨を張った腰掛けが、まるでがら明きで、向うの鼠いろのワニスを塗った壁には、真鍮の大きなぼたんが二つ光っているのでした。","I noticed that the little train that Giovanni was riding on had been running, one by one, for some time now.
Indeed, Giovanni was sitting in the cabin of a light railroad train at night, looking out of the window at the small yellow lights.
Inside the car, a blue silk-covered seat was like a gazebo, and two large brass motans gleamed on the ratty varnish-colored wall.",0.0,0.2,0.0,0.2,0.6
"すぐ前の席に、ぬれたようにまっ黒な上着を着た、せいの高い子供が、窓から頭を出して外を見ているのに気が付きました。
そしてそのこどもの肩のあたりが、どうも見たことのあるような気がして、そう思うと、もうどうしても誰だかわかりたくて、たまらなくなりました。
いきなりこっちも窓から顔を出そうとしたとき、俄かにその子供が頭を引っ込めて、こっちを見ました。","I noticed a tall child in a wet, black jacket looking out the window.
I felt as if I had seen this child before, and when I thought about it, I couldn't resist the urge to find out who he was.
Suddenly, as I was about to look out the window, the child suddenly pulled his head back and looked at me.",0.25,0.0,0.0,0.25,0.5
"それはカムパネルラだったのです。
ジョバンニが、カムパネルラ、きみは前からここに居たのと云おうと思ったとき、カムパネルラが","It was Cam panela.
When Giovanni was about to say, ""Cam panela, you have been here for a long time,"" he was surprised to find that Cam panela had been there for a long time.",0.0,0.0,0.33,0.0,0.67
「みんなはねずいぶん走ったけれども遅れてしまったよ。ザネリもね、ずいぶん走ったけれども追いつかなかった。」と云いました。,"Everyone ran long, but they fell behind. Zanelli, too, ran a long way, but he couldn't catch up. Zanelli ran a long way, but he couldn't catch up.",0.0,0.25,0.0,0.0,0.75
ジョバンニは、（そうだ、ぼくたちはいま、いっしょにさそって出掛けたのだ。）とおもいながら、,"Giovanni thought, ""Yes, we have just gone out together. (Yes, we have just gone out together!).",0,0,0,0,0
「どこかで待っていようか」と云いました。,"I said, ""I'll wait for you somewhere.",0.0,0.0,1.0,0.0,0.0
するとカムパネルラは,Then the cam panela,0,0,0,0,0
「ザネリはもう帰ったよ。お父さんが迎いにきたんだ。」,"Zanelli has already left. His father came to get him.""",0,0,0,0,0
"カムパネルラは、なぜかそう云いながら、少し顔いろが青ざめて、どこか苦しいというふうでした。
するとジョバンニも、なんだかどこかに、何か忘れたものがあるというような、おかしな気持ちがしてだまってしまいました。
ところがカムパネルラは、窓から外をのぞきながら、もうすっかり元気が直って、勢よく云いました。","For some reason, as he said this, the color of his face turned a little pale and he seemed to be in some distress.
Giovanni, too, had a funny feeling as if he had forgotten something somewhere, and became silent.
However, as he peeked out the window, he recovered his energy and said cheerfully, ""I'm sorry, but I've forgotten something.",0.09,0.18,0.36,0.36,0.0
「ああしまった。ぼく、水筒を忘れてきた。スケッチ帳も忘れてきた。けれど構わない。もうじき白鳥の停車場だから。ぼく、白鳥を見るなら、ほんとうにすきだ。川の遠くを飛んでいたって、ぼくはきっと見える。」,"I forgot my water bottle. I forgot my water bottle. I forgot my sketchpad, too. But it doesn't matter. I'll be at the swan stop soon. I really like swans when I see them. Even if they fly far away from the river, I'm sure I can see them.",0.0,0.57,0.0,0.43,0.0
"そして、カムパネルラは、円い板のようになった地図を、しきりにぐるぐるまわして見ていました。
まったくその中に、白くあらわされた天の川の左の岸に沿って一条の鉄道線路が、南へ南へとたどって行くのでした。
そしてその地図の立派なことは、夜のようにまっ黒な盤の上に、一一の停車場や三角標、泉水や森が、青や橙や緑や、うつくしい光でちりばめられてありました。","Then, he looked at the map, which looked like a circular board, and turned it around and around.
In the map, there was a railroad line that followed the left bank of the Milky Way in white, heading southward.
And the map was so splendid that it was as black as night, with every stop, triangular marker, fountain, and forest interspersed with blue, orange, green, and other beautiful lights.",0.25,0.0,0.12,0.12,0.5
ジョバンニはなんだかその地図をどこかで見たようにおもいました。,Giovanni somehow thought he had seen that map somewhere.,0,0,0,0,0
「この地図はどこで買ったの。黒曜石でできてるねえ。」,"Where did you get this map? It's made of obsidian.""",0.0,0.0,0.0,1.0,0.0
ジョバンニが云いました。,Giovanni said.,0,0,0,0,0
「銀河ステーションで、もらったんだ。君もらわなかったの。」,"""I got it at the Galactic Station. You didn't.""",0,0,0,0,0
「ああ、ぼく銀河ステーションを通ったろうか。いまぼくたちの居るとこ、ここだろう。」,"""Oh, did I just pass through a galactic station? I think this is where we are now.""",0,0,0,0,0
ジョバンニは、白鳥と書いてある停車場のしるしの、すぐ北を指しました。,Giovanni pointed just north of the stop sign that said Swan.,0.0,0.0,0.5,0.0,0.5
「そうだ。おや、あの河原は月夜だろうか。」,"Yes, it is. Oh, is it a moonlit night on that riverbank?""",0,0,0,0,0
そっちを見ますと、青白く光る銀河の岸に、銀いろの空のすすきが、もうまるでいちめん、風にさらさらさらさら、ゆられてうごいて、波を立てているのでした。,"I looked over there and saw silver-colored pampas grass on the shore of the shining blue-white galaxy, swaying and waving in the wind as if it was already all over the place.",0.0,0.0,0.0,0.0,1.0
「月夜でないよ。銀河だから光るんだよ。」,"It's not a moonlit night. It's a galaxy, that's why it glows.""",0.0,1.0,0.0,0.0,0.0
"ジョバンニは云いながら、まるではね上りたいくらい愉快になって、足をこつこつ鳴らし、窓から顔を出して、高く高く星めぐりの口笛を吹きながら一生けん命延びあがって、その天の川の水を、見きわめようとしましたが、はじめはどうしてもそれが、はっきりしませんでした。
けれどもだんだん気をつけて見ると、そのきれいな水は、ガラスよりも水素よりもすきとおって、ときどき眼の加減か、ちらちら紫いろのこまかな波をたてたり、虹のようにぎらっと光ったりしながら、声もなくどんどん流れて行き、野原にはあっちにもこっちにも、燐光の三角標が、うつくしく立っていたのです。
遠いものは小さく、近いものは大きく、遠いものは橙や黄いろではっきりし、近いものは青白く少しかすんで、或いは三角形、或いは四辺形、あるいは電や鎖の形、さまざまにならんで、野原いっぱい光っているのでした。","Giovanni was so happy that he wanted to jump up and down. He tapped his feet, looked out the window, whistled high and high to the stars, and climbed up as high as he could, trying to make out the water of the Milky Way, but at first he could not make it out clearly.
But as I looked more and more carefully, I saw that the beautiful water was clearer than glass and hydrogen, and sometimes, perhaps due to the sensitivity of my eyes, it would make little purple waves or shine like a rainbow, flowing silently and rapidly. In the field, here and there, triangular beacons of phosphorescent light stood beautifully.
The distant ones were small, the near ones were large, the distant ones were orange or yellow, the near ones were pale and slightly hazy, and the triangles, quadrilaterals, electric lights, chains, and many other shapes were glowing all over the field.",0.1,0.14,0.1,0.29,0.38
"ジョバンニは、まるでどきどきして、頭をやけに振りました。
するとほんとうに、そのきれいな野原中の青や橙や、いろいろかがやく三角標も、てんでに息をつくように、ちらちらゆれたり顫えたりしました。","Giovanni shook his head, as if in shock.
And indeed, the blue, orange, and other shimmering triangles in the beautiful field were all flickering and shaking as if they were breathing.",0.14,0.0,0.14,0.14,0.57
「ぼくはもう、すっかり天の野原に来た。」,"I have come to a heavenly field.""",0.0,0.0,0.0,0.0,1.0
ジョバンニは云いました。,Giovanni said.,0,0,0,0,0
「それにこの汽車石炭をたいていないねえ。」,"And I don't see a lot of coal on this train.""",0.0,0.0,0.0,1.0,0.0
ジョバンニが左手をつき出して窓から前の方を見ながら云いました。,"Giovanni said, sticking out his left hand and looking out the window toward the front.",0.0,0.0,0.0,0.0,1.0
「アルコールか電気だろう。」,"It could be alcohol or electricity.""",0,0,0,0,0
"カムパネルラが云いました。
ごとごとごとごと、その小さなきれいな汽車は、そらのすすきの風にひるがえる中を、天の川の水や、三角点の青じろい微光の中を、どこまでもどこまでもと、走って行くのでした。","Come Panera said.
Little by little, the beautiful little train ran on and on and on, through the wind of the pampas grass, the waters of the Milky Way, and the pale blue glow of the triangulation point.",0.2,0.2,0.2,0.4,0.0
「ああ、りんどうの花が咲いている。もうすっかり秋だねえ。」,"Ah, rindou flowers are blooming. It's already autumn.""",0,0,0,0,0
"カムパネルラが、窓の外を指さして云いました。
線路のへりになったみじかい芝草の中に、月長石ででも刻まれたような、すばらしい紫のりんどうの花が咲いていました。","Camperla pointed out the window.
Among the narrow lawn grass along the edge of the railroad tracks, there was a wonderful purple flower, which looked as if it had been carved out of a moonbeam.",0.0,0.25,0.5,0.25,0.0
「ぼく、飛び下りて、あいつをとって、また飛び乗ってみせようか。」,"I'll jump down, get him, and jump back up again.""",0.0,0.0,1.0,0.0,0.0
ジョバンニは胸を躍らせて云いました。,Giovanni said with excitement.,0,0,0,0,0
「もうだめだ。あんなにうしろへ行ってしまったから。」,"I can't do it anymore. I've gone so far back.""",0.0,0.0,0.0,1.0,0.0
"カムパネルラが、そう云ってしまうかしまわないうち、次のりんどうの花が、いっぱいに光って過ぎて行きました。
と思ったら、もう次から次から、たくさんのきいろな底をもったりんどうの花のコップが、湧くように、雨のように、眼の前を通り、三角標の列は、けむるように燃えるように、いよいよ光って立ったのです。","Before I knew it, the next row of flowers had passed by, shining brightly.
And then, one after another, cup after cup of golden-bottomed apple blossoms came like rain, and the rows of triangular markers stood up, glowing like a burning fire.",0.25,0.25,0.0,0.25,0.25
「おっかさんは、ぼくをゆるして下さるだろうか。」,"Will my mother forgive me?""",0,0,0,0,0
"いきなり、カムパネルラが、思い切ったというように、少しどもりながら、急きこんで云いました。
ジョバンニは、","Suddenly, Camperanella said with a little stammer, as if he had just made a bold decision.
Giovanni was",0.0,0.0,0.0,0.33,0.67
（ああ、そうだ、ぼくのおっかさんは、あの遠い一つのちりのように見える橙いろの三角標のあたりにいらっしゃって、いまぼくのことを考えているんだった。）と思いながら、ぼんやりしてだまっていました。,"(Oh, that's right, my mother is somewhere around that orange triangular marker that looks like a distant speck of dust, and she's thinking about me right now.) ) I remained still, thinking in a daze.",0.0,1.0,0.0,0.0,0.0
「ぼくはおっかさんが、ほんとうに幸になるなら、どんなことでもする。けれども、いったいどんなことが、おっかさんのいちばんの幸なんだろう。」,I will do whatever it takes to make my mother truly happy. But what would make my mother happiest?,0.4,0.0,0.2,0.4,0.0
カムパネルラは、なんだか、泣きだしたいのを、一生けん命こらえているようでした。,It seemed as if Kamupanella was trying her best to hold back the tears that were threatening to burst out.,0.0,0.0,0.0,0.5,0.5
「きみのおっかさんは、なんにもひどいことないじゃないの。」,Your mother is nothing to be ashamed of.,0.0,0.0,0.0,1.0,0.0
ジョバンニはびっくりして叫びました。,Giovanni exclaimed in surprise.,0.0,0.0,1.0,0.0,0.0
「ぼくわからない。けれども、誰だって、ほんとうにいいことをしたら、いちばん幸なんだねえ。だから、おっかさんは、ぼくをゆるして下さると思う。」,I don't know. But everyone is happiest when he or she does something really good. So I think my mother will forgive me.,0.5,0.0,0.0,0.5,0.0
"カムパネルラは、なにかほんとうに決心しているように見えました。
俄かに、車のなかが、ぱっと白く明るくなりました。
見ると、もうじつに、金剛石や草の露やあらゆる立派さをあつめたような、きらびやかな銀河の河床の上を水は声もなくかたちもなく流れ、その流れのまん中に、ぼうっと青白く後光の射した一つの島が見えるのでした。","It seemed as if Kamupanella had made up his mind.
Suddenly, the inside of the car became bright and white.
The water flowed silently and without form on the bed of a glittering galaxy, as if it were a collection of goldenrod, dewdrops of grass, and all other splendor, and in the middle of the stream, an island with a bluish-white halo shining through it could be seen.",0.17,0.17,0.17,0.33,0.17
その島の平らないただきに、立派な眼もさめるような、白い十字架がたって、それはもう凍った北極の雲で鋳たといったらいいか、すきっとした金いろの円光をいただいて、しずかに永久に立っているのでした。,"On the flat top of the island stood a magnificent, eye-catching white cross, cast from the frozen clouds of the Arctic, with a clear golden glow, standing calmly and permanently.",0.1,0.2,0.1,0.3,0.3
「ハルレヤ、ハルレヤ。」,"Hallelujah, Hallelujah.""",0.0,0.0,1.0,0.0,0.0
"前からもうしろからも声が起りました。
ふりかえって見ると、車室の中の旅人たちは、みなまっすぐにきもののひだを垂れ、黒いバイブルを胸にあてたり、水晶の珠数をかけたり、どの人もつつましく指を組み合せて、そっちに祈っているのでした。
思わず二人もまっすぐに立ちあがりました。","Voices came from the front and the back.
I turned around and saw that the travelers in the car were all hanging straight from the folds of their kimonos, black bibles clutched to their chests, crystal beads hung from their hands, and their fingers interlocked as they prayed.
They stood up straight as well.",0.0,0.0,0.17,0.0,0.83
"カムパネルラの頬は、まるで熟した苹果のあかしのようにうつくしくかがやいて見えました。
そして島と十字架とは、だんだんうしろの方へうつって行きました。
向う岸も、青じろくぽうっと光ってけむり、時々、やっぱりすすきが風にひるがえるらしく、さっとその銀いろがけむって、息でもかけたように見え、また、たくさんのりんどうの花が、草をかくれたり出たりするのは、やさしい狐火のように思われました。","The cheeks of the cam panela seemed to glow like the testimony of ripe apple blossoms.
The island and the cross gradually moved toward the rear.
The shore on the other side of the island glowed and glowed blue, and every once in a while, a Japanese pampas grass seemed to flutter in the wind, its silver color glinting as if it were breathing on the wind.",0.0,0.6,0.0,0.2,0.2
"それもほんのちょっとの間、川と汽車との間は、すすきの列でさえぎられ、白鳥の島は、二度ばかり、うしろの方に見えましたが、じきもうずうっと遠く小さく、絵のようになってしまい、またすすきがざわざわ鳴って、とうとうすっかり見えなくなってしまいました。
ジョバンニのうしろには、いつから乗っていたのか、せいの高い、黒いかつぎをしたカトリック風の尼さんが、まん円な緑の瞳を、じっとまっすぐに落して、まだ何かことばか声かが、そっちから伝わって来るのを、虔んで聞いているというように見えました。
旅人たちはしずかに席に戻り、二人も胸いっぱいのかなしみに似た新らしい気持ちを、何気なくちがった語で、そっと談し合ったのです。","For a short while, the river and the train were separated by a line of pampas grass, and Swan Island came into view twice in the rear, but soon it was far away and small, like a picture, and then the pampas grass rustled again, and finally it was completely out of sight.
Behind Giovanni, there was a Catholic-looking nun in a high, black coat of arms, her round green eyes fixed straight ahead, as if she was listening intently to some word or voice coming from the other side.
The travelers quietly returned to their seats, and the two of them casually exchanged a few words about their newfound feelings of sadness.",0.0,0.45,0.09,0.09,0.36
「もうじき白鳥の停車場だねえ。」,"Soon we'll be at the swan stop.""",0,0,0,0,0
「ああ、十一時かっきりには着くんだよ。」,"Yeah, I'll be there by 11:00 or so.""",0,0,0,0,0
"早くも、シグナルの緑の燈と、ぼんやり白い柱とが、ちらっと窓のそとを過ぎ、それから硫黄のほのおのようなくらいぼんやりした転てつ機の前のあかりが窓の下を通り、汽車はだんだんゆるやかになって、間もなくプラットホームの一列の電燈が、うつくしく規則正しくあらわれ、それがだんだん大きくなってひろがって、二人は丁度白鳥停車場の、大きな時計の前に来てとまりました。
さわやかな秋の時計の盤面には、青く灼かれたはがねの二本の針が、くっきり十一時を指しました。
みんなは、一ぺんに下りて、車室の中はがらんとなってしまいました。","The green light of the signal and the dim white pillar glanced past the window, and then the light in front of the converter passed under the window, as dim as the faintest hint of sulfur. Soon, a line of lights on the platform appeared in beautiful regularity, and as they grew larger and wider, they came to a halt just in front of the large clock at the swan stop.
On the crisp autumn clock face, the two hands of the blue burnished gold clock clearly pointed to 11 o'clock.
Everyone went down at once, and the interior was deserted.",0.12,0.0,0.12,0.38,0.38
〔二十分停車〕と時計の下に書いてありました。,"The clock said, ""Stop for 20 minutes.",0,0,0,0,0
「ぼくたちも降りて見ようか。」,Let's go down and take a look.,0,0,0,0,0
ジョバンニが云いました。,Giovanni said.,0,0,0,0,0
「降りよう。」,"Let's go down.""",0,0,0,0,0
"二人は一度にはねあがってドアを飛び出して改札口へかけて行きました。
ところが改札口には、明るい紫がかった電燈が、一つ点いているばかり、誰も居ませんでした。
そこら中を見ても、駅長や赤帽らしい人の、影もなかったのです。","They jumped up at once, ran out the door, and ran to the ticket gate.
However, there was only one bright purplish light on at the ticket gate, and no one was there.
There was not even a shadow of a stationmaster or a red-capped man in sight.",0.33,0.0,0.33,0.33,0.0
"二人は、停車場の前の、水晶細工のように見える銀杏の木に囲まれた、小さな広場に出ました。
そこから幅の広いみちが、まっすぐに銀河の青光の中へ通っていました。
さきに降りた人たちは、もうどこへ行ったか一人も見えませんでした。","They emerged into a small clearing in front of the depot, surrounded by gingko trees that looked like crystal work.
From there, a wide path led straight into the blue light of the galaxy.
Not a single person who had alighted earlier could be seen where they had gone.",0.0,0.0,0.0,0.67,0.33
"二人がその白い道を、肩をならべて行きますと、二人の影は、ちょうど四方に窓のある室の中の、二本の柱の影のように、また二つの車輪の輻のように幾本も幾本も四方へ出るのでした。
そして間もなく、あの汽車から見えたきれいな河原に来ました。
カムパネルラは、そのきれいな砂を一つまみ、掌にひろげ、指できしきしさせながら、夢のように云っているのでした。","As they walked shoulder to shoulder along the white road, their shadows were like the shadows of two pillars in a room with windows on all four sides, and like the spokes of two wheels, their shadows were coming out in all directions.
Soon, they came to the beautiful riverbank that they had seen from the train.
Camperla took a pinch of the beautiful sand and spread it out on his palm, creaking it with his fingers as if it were a dream.",0.22,0.0,0.11,0.33,0.33
「この砂はみんな水晶だ。中で小さな火が燃えている。」,"All this sand is crystal. There's a little fire burning inside.""",0.0,0.0,0.0,1.0,0.0
「そうだ。」,"Yes.""",0,0,0,0,0
"どこでぼくは、そんなこと習ったろうと思いながら、ジョバンニもぼんやり答えていました。
河原の礫は、みんなすきとおって、たしかに水晶や黄玉や、またくしゃくしゃの皺曲をあらわしたのや、また稜から霧のような青白い光を出す鋼玉やらでした。
ジョバンニは、走ってその渚に行って、水に手をひたしました。","Giovanni answered vaguely, wondering where I had learned such a thing.
The gravel on the riverbank was all clear, and indeed there were crystals, yellow jade, crumpled wrinkles, and jade of steel that emitted a misty bluish-white light from its ridges.
Giovanni ran to the shore and dipped his hand in the water.",0.0,0.0,0.11,0.67,0.22
"けれどもあやしいその銀河の水は、水素よりももっとすきとおっていたのです。
それでもたしかに流れていたことは、二人の手首の、水にひたったとこが、少し水銀いろに浮いたように見え、その手首にぶっつかってできた波は、うつくしい燐光をあげて、ちらちらと燃えるように見えたのでもわかりました。
川上の方を見ると、すすきのいっぱいに生えている崖の下に、白い岩が、まるで運動場のように平らに川に沿って出ているのでした。","But the water of the mysterious galaxy was even clearer than hydrogen.
The waves that splashed against their wrists seemed to burn and flicker with a glowing phosphorescence.
Looking upstream, I saw a white rocky outcrop, flat as a playground, along the river below a cliff full of pampas grass.",0.0,0.1,0.1,0.4,0.4
そこに小さな五六人の人かげが、何か掘り出すか埋めるかしているらしく、立ったり屈んだり、時々なにかの道具が、ピカッと光ったりしました。,"There were fifty or sixty little figures standing or bending over, as if they were digging something out or burying something, and every once in a while some tool would flash.",0.0,0.5,0.0,0.0,0.5
「行ってみよう。」,"Let's go.""",0,0,0,0,0
"二人は、まるで一度に叫んで、そっちの方へ走りました。
その白い岩になった処の入口に、
〔プリオシン海岸〕という、瀬戸物のつるつるした標札が立って、向うの渚には、ところどころ、細い鉄の欄干も植えられ、木製のきれいなベンチも置いてありました。","They ran in that direction, shouting at once.
At the entrance to the white rocky beach, there was a smooth, earthenware marker that read, ""Priosin Beach.
On the beach on the other side, there was a narrow iron railing planted in places, and a beautiful wooden bench.",0.29,0.14,0.14,0.14,0.29
「おや、変なものがあるよ。」,"Gosh, there's some weird stuff in there.""",0.0,1.0,0.0,0.0,0.0
カムパネルラが、不思議そうに立ちどまって、岩から黒い細長いさきの尖ったくるみの実のようなものをひろいました。,"Camperla stood still curiously and picked a long, thin, black, pointed walnut-like object from a rock.",0.0,0.0,0.25,0.0,0.75
「くるみの実だよ。そら、沢山ある。流れて来たんじゃない。岩の中に入ってるんだ。」,"Walnuts. See, there are a lot of them. They didn't wash up. They're in the rocks.""",0.0,0.0,0.0,0.5,0.5
「大きいね、このくるみ、倍あるね。こいつはすこしもいたんでない。」,"""They are big, these walnuts are twice as big as they should be. This one must have been a little bigger.""",0,0,0,0,0
「早くあすこへ行って見よう。きっと何か掘ってるから。」,"Let's go to Asuko and see. I'm sure they're digging something.""",0,0,0,0,0
"二人は、ぎざぎざの黒いくるみの実を持ちながら、またさっきの方へ近よって行きました。
左手の渚には、波がやさしい稲妻のように燃えて寄せ、右手の崖には、いちめん銀や貝殻でこさえたようなすすきの穂がゆれたのです。
だんだん近付いて見ると、一人のせいの高い、ひどい近眼鏡をかけ、長靴をはいた学者らしい人が、手帳に何かせわしそうに書きつけながら、鶴嘴をふりあげたり、スコープをつかったりしている、三人の助手らしい人たちに夢中でいろいろ指図をしていました。","Holding the jagged black walnuts in their hands, the two men approached the beach again.
On the shore to their left, the waves flashed like a gentle lightning bolt, and on the cliff to their right, ears of Japanese pampas grass shook as if they had been rubbed with silver or seashells.
As I got closer and closer, I saw a tall scholarly man in boots, wearing a pair of heavy short-sighted glasses, writing impatiently in his notebook and giving instructions to his three assistants, who were waving their beaks and using their scopes.",0.0,0.17,0.0,0.17,0.67
「そこのその突起を壊さないように。スコープを使いたまえ、スコープを。おっと、も少し遠くから掘って。いけない、いけない。なぜそんな乱暴をするんだ。」,"Don't break that prong right there. Use your scope, use your scope. Whoa, dig a little farther. No, no, no. Why are you being so rough?",0.0,0.0,0.67,0.33,0.0
"見ると、その白い柔らかな岩の中から、大きな大きな青じろい獣の骨が、横に倒れて潰れたという風になって、半分以上掘り出されていました。
そして気をつけて見ると、そこらには、蹄の二つある足跡のついた岩が、四角に十ばかり、きれいに切り取られて番号がつけられてありました。","I looked, and out of the soft white rock, I saw the bones of a large, pale, pale beast, more than half dug out, as if it had fallen over on its side and been crushed.
And if you looked carefully, you could see that there were ten neatly cut and numbered squares of rock with two cloven-hoofed footprints on them.",0.0,0.0,0.0,0.0,1.0
「君たちは参観かね。」,You guys are here to see the show.,0,0,0,0,0
その大学士らしい人が、眼鏡をきらっとさせて、こっちを見て話しかけました。,"The man, who seemed to be a university professor, looked at me with a twinkle in his eyeglasses and spoke to me.",0.0,0.0,0.0,0.0,1.0
「くるみが沢山あったろう。それはまあ、ざっと百二十万年ぐらい前のくるみだよ。ごく新らしい方さ。ここは百二十万年前、第三紀のあとのころは海岸でね、この下からは貝がらも出る。いま川の流れているとこに、そっくり塩水が寄せたり引いたりもしていたのだ。このけものかね、これはボスといってね、おいおい、そこつるはしはよしたまえ。ていねいに鑿でやってくれたまえ。ボスといってね、いまの牛の先祖で、昔はたくさん居たさ。」,"There were a lot of walnuts. Well, walnuts that are roughly one million, two hundred thousand years old. They are very recent. This was a beach about 1.2 million years ago, after the Tertiary period, and shells come out from under here. Salt water flowed in and out of this place just like the river flows now. This monster, this is the boss. Please chisel it out carefully. He is the ancestor of today's cattle, and there used to be a lot of them.",0.0,0.0,0.0,0.75,0.25
「標本にするんですか。」,"Are you going to make a specimen?""",0.0,0.0,0.0,1.0,0.0
「いや、証明するに要るんだ。ぼくらからみると、ここは厚い立派な地層で、百二十万年ぐらい前にできたという証拠もいろいろあがるけれども、ぼくらとちがったやつからみてもやっぱりこんな地層に見えるかどうか、あるいは風か水やがらんとした空かに見えやしないかということなのだ。わかったかい。けれども、おいおい。そこもスコープではいけない。そのすぐ下に肋骨が埋もれてる筈じゃないか。」,"No, we need proof. From our point of view, this is a thick and splendid stratum, and there are various evidences that it was formed about 1,200,000 years ago, but the question is whether it looks like such a stratum to someone other than us, or whether it looks like wind, water, or the empty sky. Do you get it? But, come on. Don't use a scope there, too. There should be a rib buried right under there.",0.12,0.0,0.12,0.12,0.62
大学士はあわてて走って行きました。,The Grand Master rushed off in a panic.,0.33,0.0,0.33,0.0,0.33
「もう時間だよ。行こう。」,"It's time to go. Let's go.""",0,0,0,0,0
カムパネルラが地図と腕時計とをくらべながら云いました。,"Camperla compared the map with his wristwatch and said, ""I'm not sure if this is a good idea or not.",0,0,0,0,0
「ああ、ではわたくしどもは失礼いたします。」,"Ah, now if you'll excuse us.""",0.0,0.0,0.0,1.0,0.0
ジョバンニは、ていねいに大学士におじぎしました。,Giovanni bowed politely to the Grand Master.,0.0,0.0,1.0,0.0,0.0
「そうですか。いや、さよなら。」,"I see. No, goodbye.""",0.0,0.0,0.0,1.0,0.0
"大学士は、また忙がしそうに、あちこち歩きまわって監督をはじめました。
二人は、その白い岩の上を、一生けん命汽車におくれないように走りました。
そしてほんとうに、風のように走れたのです。","The Grand Master was busy again, walking from place to place to supervise.
The two of them ran over the white rocks, trying their best to keep up with the train.
And indeed, they were able to run like the wind.",0.0,0.0,0.2,0.0,0.8
"息も切れず膝もあつくなりませんでした。
こんなにしてかけるなら、もう世界中だってかけれると、ジョバンニは思いました。
そして二人は、前のあの河原を通り、改札口の電燈がだんだん大きくなって、間もなく二人は、もとの車室の席に座って、いま行って来た方を、窓から見ていました。","He was not out of breath and his knees did not get hot.
If I can make a call like this, Giovanni thought, I can make a call all over the world.
They passed by the riverbank, and as the lights at the ticket gate grew louder and louder, they soon found themselves sitting in their original seats, looking out the window in the direction from which they had just left.",0.0,0.0,0.2,0.8,0.0
「ここへかけてもようございますか。」,May I call you back?,0,0,0,0,0
"がさがさした、けれども親切そうな、大人の声が、二人のうしろで聞えました。
それは、茶いろの少しぼろぼろの外套を着て、白い巾でつつんだ荷物を、二つに分けて肩に掛けた、赤髯のせなかのかがんだ人でした。","Behind them, they heard a rustling, but friendly, adult voice.
It was a hunched man with a red beard, wearing a brown, slightly tattered cloak and a white cloth wrapped package, divided into two and slung over his shoulder.",0.17,0.33,0.0,0.17,0.33
「ええ、いいんです。」,"Yeah, that's fine.",1.0,0.0,0.0,0.0,0.0
"ジョバンニは、少し肩をすぼめて挨拶しました。
その人は、ひげの中でかすかに微笑いながら荷物をゆっくり網棚にのせました。
ジョバンニは、なにか大へんさびしいようなかなしいような気がして、だまって正面の時計を見ていましたら、ずうっと前の方で、硝子の笛のようなものが鳴りました。","Giovanni greeted him with a slight shrug.
The man smiled faintly in his beard and slowly put his luggage on the rack.
Giovanni felt lonely and sad, so he stood still and looked at the clock in front of him.",0.1,0.2,0.0,0.4,0.3
"汽車はもう、しずかにうごいていたのです。
カムパネルラは、車室の天井を、あちこち見ていました。
その一つのあかりに黒い甲虫がとまってその影が大きく天井にうつっていたのです。","The train was already moving quietly.
Camperla looked at the ceiling of the compartment from place to place.
One of the lights had a black beetle perched on it, and its shadow was cast on the ceiling.",0.0,0.0,0.0,0.33,0.67
"赤ひげの人は、なにかなつかしそうにわらいながら、ジョバンニやカムパネルラのようすを見ていました。
汽車はもうだんだん早くなって、すすきと川と、かわるがわる窓の外から光りました。
赤ひげの人が、少しおずおずしながら、二人に訊きました。","The red-bearded man was looking at Giovanni and Cam panela with a nostalgic smile on his face.
The train was getting faster and faster, and the soot and the river were shining out of the window one after another.
The red-bearded man asked them, a little timidly.",0.25,0.0,0.0,0.25,0.5
「あなた方は、どちらへいらっしゃるんですか。」,Where are you going?,0,0,0,0,0
「どこまでも行くんです。」,"We go wherever we have to go.""",0,0,0,0,0
ジョバンニは、少しきまり悪そうに答えました。,Giovanni replied a little awkwardly.,0,0,0,0,0
「それはいいね。この汽車は、じっさい、どこまででも行きますぜ。」,"That's good. This train will go anywhere, really.",0,0,0,0,0
「あなたはどこへ行くんです。」,"Where are you going?""",0,0,0,0,0
"カムパネルラが、いきなり、喧嘩のようにたずねましたので、ジョバンニは、思わずわらいました。
すると、向うの席に居た、尖った帽子をかぶり、大きな鍵を腰に下げた人も、ちらっとこっちを見てわらいましたので、カムパネルラも、つい顔を赤くして笑いだしてしまいました。
ところがその人は別に怒ったでもなく、頬をぴくぴくしながら返事しました。","Giovanni couldn't help but laugh as Camperla suddenly asked him a question as if he were in a fight.
Then, a man wearing a pointed hat and a large key on his waist, who was sitting across from him, glanced at him and laughed, which made Giovanni blush and burst out laughing.
However, the man was not angry and replied with a twitch of his cheek.",0.0,0.14,0.14,0.43,0.29
「わっしはすぐそこで降ります。わっしは、鳥をつかまえる商売でね。」,"I'll be getting off right there. I'm in the business of catching birds.""",0.0,0.5,0.0,0.0,0.5
